state,technology,value
NSW,Biofuels,2531.13136
NSW,Hydro,3148.196
NSW,Wind,5892.994
NSW,Solar,18356.54662
VIC,Biofuels,1677.5134199999998
VIC,Hydro,2798.338
VIC,Wind,10651.904
VIC,Solar,9468.643479999999
QLD,Biofuels,1448.0671399999999
QLD,Hydro,1315.467
QLD,Wind,2951.727
QLD,Solar,15865.94406
WA,Biofuels,343.61386
WA,Hydro,72.328
WA,Wind,3579.953
WA,Solar,6039.84894
SA,Biofuels,464.4481599999999
SA,Hydro,1.376
SA,Wind,6103.711
SA,Solar,4918.00886
TAS,Biofuels,126.66767999999999
TAS,Hydro,7624.35
TAS,Wind,1811.673
TAS,Solar,518.14248
NT,Biofuels,27.50022
NT,Solar,484.56786
